user_id,course_id,year,user_course_state,assignment_id1,course_type,id,courseId,u_id,ass_id,completedOn,certificate_type,Nr_Certificates_for_the_same_year,is_certificate_a_duplicate,rn,month,day,completedOn_ts,exam_userId,examId,exam_assignmentId,exam_courseId,totalQuestions,countOfExamQuestions,questionsPerPage,resultPercentage,correctAnswers,questionsCount,hasPassed,exam_date,Nr_attempt_for_an_exam,rn_exam
U_2b192648d3db,CRS_31c7b1de3f81,null,NOTSTARTED,A_e69574b53502,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_af014c58c183,CRS_3aa12372bdac,null,NOTSTARTED,A_5a753c788f81,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_efec7acb7665,CRS_0e8d02cc5c4b,null,NOTSTARTED,A_7ade5879f982,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_efec7acb7665,CRS_0e8d02cc5c4b,null,NOTSTARTED,A_7ade5879f982,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_e010c13cb3aa,CRS_31c7b1de3f81,null,NOTSTARTED,A_7c0fb042ac70,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_347105896f2d,CRS_ed9b28ccff0e,null,NOTSTARTED,A_4dcaf8c5b856,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_40cd8758992a,CRS_ff513724a302,null,NOTSTARTED,A_da10379e5df4,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_eee2aabc507a,CRS_cc83339c40b0,null,NOTSTARTED,A_8ddb6b05c94b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2d0d2fa0fe8b,CRS_16c61200a487,null,NOTSTARTED,A_c807c2b013a3,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_04c002019c22,CRS_42e1e1024619,null,NOTSTARTED,A_23917c368624,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_f0b6451b7f4f,CRS_df6e2d3dfaa2,null,NOTSTARTED,A_0200c3fdfbde,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_8b789398e53c,CRS_8029a2629b4b,null,NOTSTARTED,A_51e99bab5f9b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_b5be2876a7c8,CRS_a452f24e3af9,null,NOTSTARTED,A_4f1ca6785610,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_007ef86a204d,CRS_4e675f23f1b3,null,NOTSTARTED,A_2e585c75a4ee,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_f6418300119c,CRS_4e675f23f1b3,null,NOTSTARTED,A_047c81bf1638,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_6827a2c7a7c5,CRS_4d54f992e268,null,NOTSTARTED,A_5794fe222bbf,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_eb9289bb7c24,CRS_c1c08b7f7539,null,NOTSTARTED,A_3f4ddc47a7c1,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_33f7b6b833f7,CRS_2067ee9305da,null,NOTSTARTED,A_6282d87a96e7,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_bf4dd13467ab,CRS_833d4acee231,null,NOTSTARTED,A_b7b0b124cbdf,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_1e1e16887b70,CRS_64b537f16068,null,NOTSTARTED,A_de13cabf01f1,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_81dd4bec76d1,CRS_4e675f23f1b3,null,NOTSTARTED,A_5690c0fc6c42,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_0bc0df288ade,CRS_891d0f497cf3,null,NOTSTARTED,A_241530d915ae,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_8d4a82beca5a,CRS_5288f12722c4,null,NOTSTARTED,A_b186777c6ad7,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_e4bb0539aace,CRS_a452f24e3af9,null,NOTSTARTED,A_8d9ab3cf100f,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_0255003ac766,CRS_33363cc514d0,null,NOTSTARTED,A_67577e576b63,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_a8b591f5f987,CRS_45aee103d691,null,NOTSTARTED,A_e39d95f4998b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_8bebb00f7a04,CRS_833d4acee231,null,NOTSTARTED,A_8ebec1f90f63,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_dde6783e2704,CRS_cc72e02e0ac5,null,NOTSTARTED,A_73b2b2f5ea28,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_3b13d7a2fd60,CRS_a452f24e3af9,null,NOTSTARTED,A_73b2b2f5ea28,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_01e9fb12b5ba,CRS_b212fe7050ec,null,NOTSTARTED,A_73b2b2f5ea28,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_a14a8b351a8d,CRS_74d38079e7c4,null,NOTSTARTED,A_04c6c43ce919,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_24317103dce8,CRS_833d4acee231,null,NOTSTARTED,A_dc0ae8ecc895,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_79aaa9a6299e,CRS_6a98cdf39233,null,NOTSTARTED,A_aacf74f909e4,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_b17f128b90d1,CRS_2325e8812e9a,null,NOTSTARTED,A_461bfe419d5b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_dc1e6f653bcd,CRS_99bee496bcf1,null,NOTSTARTED,A_4fa38b8d8e1e,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_63cdfc25c570,CRS_cc72e02e0ac5,null,NOTSTARTED,A_d7c042b4e5f8,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_a9936b8b0019,CRS_4e675f23f1b3,null,NOTSTARTED,A_f97288a4a33d,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_450f290b978c,CRS_45aee103d691,null,NOTSTARTED,A_a506a2553168,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_8d73e1e2a2f9,CRS_ed788addbb76,null,NOTSTARTED,A_0d8948ae8179,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_333f29a155f9,CRS_970386177638,null,NOTSTARTED,A_b087748bb8e8,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_daf5bb8131fa,CRS_624d0f1d0467,null,NOTSTARTED,A_a6a2de2950ad,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_c7b679261e47,CRS_47cb7b26a648,null,NOTSTARTED,A_461bfe419d5b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_26c101ea217b,CRS_25858fddeb0a,null,NOTSTARTED,A_461bfe419d5b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_4545757f8e7c,CRS_33363cc514d0,null,NOTSTARTED,A_3e1859d38987,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_168e11f7b61a,CRS_da01077acb17,null,NOTSTARTED,A_75c1ece48af0,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2422080d597d,CRS_bfc01ddff9ec,null,NOTSTARTED,A_7085808e61fb,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_eaea8ea3bf31,CRS_a2bc5c820b2c,null,NOTSTARTED,A_fbba51c0648b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_4fae6706d125,CRS_e21323f72bdb,null,NOTSTARTED,A_033b70ac15f4,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_6676b5c469f6,CRS_e31c7e09ae1a,null,NOTSTARTED,A_31e0a9509ba0,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_880c1bf0b1aa,CRS_7cbe4bec8b4e,null,NOTSTARTED,A_2c0d8f0d1e35,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_9692850da3e7,CRS_a2bc5c820b2c,null,NOTSTARTED,A_23917c368624,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_5e770e8b3ab4,CRS_a213167ee14d,null,NOTSTARTED,A_5c6647b9a8c4,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_4460e2d42163,CRS_d8d004a9b135,null,NOTSTARTED,A_e84d95a9d82b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_f930a771965e,CRS_b1fab6ada3c3,null,NOTSTARTED,A_a0d536bceb9b,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_c30f2847a680,CRS_b5609cd26538,null,NOTSTARTED,A_34d5e06a6831,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_e234b487015f,CRS_833d4acee231,null,NOTSTARTED,A_a343760cae86,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_04371aebc622,CRS_99bee496bcf1,null,NOTSTARTED,A_f6faae64395c,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_ccebb2347dcb,CRS_45ba9cb1aa8b,null,NOTSTARTED,A_beb0ad34809e,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_a0c2593a00f6,CRS_a532495c8315,null,NOTSTARTED,A_7fc1d040e122,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_8d4a82beca5a,CRS_4e675f23f1b3,null,NOTSTARTED,A_8d9ab3cf100f,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_fed40d194b89,CRS_4a18e14dcaea,null,NOTSTARTED,A_d4a137b7a160,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_175ec3fd7445,CRS_750e72fe5fc2,null,NOTSTARTED,A_73b2b2f5ea28,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_4272a4b619b9,CRS_4e675f23f1b3,null,NOTSTARTED,A_047c81bf1638,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_c5f34668c727,CRS_30138389cf9e,null,NOTSTARTED,A_59eab32d6ac6,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_143add68dffd,CRS_a452f24e3af9,null,NOTSTARTED,A_fd8bcd379b6a,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_83e1677285dd,CRS_4e675f23f1b3,null,NOTSTARTED,A_f97288a4a33d,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_655257eca5f9,CRS_99bee496bcf1,null,NOTSTARTED,A_dc0ae8ecc895,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2431964c1796,CRS_dfe2eaa320f2,null,NOTSTARTED,A_6eede7e5a3c9,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_4badf76be044,CRS_651b7ad976bc,null,NOTSTARTED,A_89f4f4f78c2a,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_a65ecdaa0f5d,CRS_70a5795da6de,null,NOTSTARTED,A_ec30e9de3afb,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2bcc0cc05d76,CRS_99bee496bcf1,null,NOTSTARTED,A_986decc6f0ad,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_058d58edb15b,CRS_72c891a738b0,null,NOTSTARTED,A_0d8948ae8179,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_beb755e55e59,CRS_ac2ea592602c,null,NOTSTARTED,A_e1b87af07e60,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_12b6f25442b9,CRS_af9f2482c19d,null,NOTSTARTED,A_0b361d103c33,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_cb344a3304dd,CRS_4ff86a1cae13,null,NOTSTARTED,A_0b361d103c33,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_7cd64249dfdd,CRS_7f9c8c78c6c6,null,NOTSTARTED,A_fdbcfb660ae3,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
