course_id1,course_name,course_duration_in_min,course_description,course_status,course_rbp,course_cne_available,course_cme_available
CRS_11eeeef40fe5,Sofortmaßnahmen in Notfallsituationen - Lebensrettende Basismaßnahmen in der Pädiatrie,45.0,In diesem Kurs lernen Sie die pädiatrischen Basismaßnahmen in Notfallsituationen nach der aktuellen Leitlinie kennen.,RELEASED,1,false,false
CRS_9bf30e0c0bbf,Delirmanagement im Krankenhaus,45.0,"Kurs zu Delirmanagement für Fachpersonal: Früherkennung, Screening, Prävention und Therapie – praxisnah nach aktuellen Leitlinien.",RELEASED,1,true,false
CRS_da01077acb17,Gespräche im Gesundheitswesen - Botschaften verstehen nach Schulz von Thun,45.0,In diesem Kurs können Sie Strukturmodelle nach Schulz von Thun sowie Fähigkeiten für eine klare Kommunikation und zum Vermeiden von Missverständnissen erlernen.,RELEASED,1,false,false
CRS_786d9f03b585,Expertenstandard Kontinenzförderung - Praxiskurs ambulante Pflege,60.0,"Ziel des Kurses ist es, zu vermitteln, wie der Expertenstandard Kontinenzförderung praktisch in der ambulanten Pflege umgesetzt werden kann.",RELEASED,1,true,false
CRS_77d83fdb652d,Expertenstandard Sturzprophylaxe in der stationären Pflege,45.0,"Sie lernen, Sturzrisiken einzuschätzen und geeignete Maßnahmen zu planen und durchzuführen, um Stürze zu verhindern",ARCHIVED,1,false,false
CRS_1cb395572ec4,Informationssicherheit im Krankenhaus - kurz wiederholt,15.0,Der Kurs behandelt in unter 15 Minuten die wesentlichen Inhalte zum Thema Informationssicherheit im Krankenhaus.,RELEASED,null,false,false
CRS_e4bd879d6a80,Fachwissen für Pflegehelfende - Kontinenzförderung,60.0,"Dieser Kurs vermittelt Pflegeassistent*innen und Pflegehelfenden, wie sie an der Umsetzung des Expertenstandards in der Pflege mitwirken können.",RELEASED,1,false,false
CRS_314008aeb09b,Umgang mit Röntgenstrahlen und radioaktiven Substanzen in Arztpraxen und MVZ,30.0,Lernende werden Strahlenschutz bei Röntgendiagnostik und im Umgang mit radioaktiven Stoffen sicher und regelkonform anwenden.,RELEASED,null,false,false
CRS_09c6f280c389,Grundpflege - Körper waschen (Leichte Sprache),60.0,In diesem Kurs lernen Sie Regeln und Abläufe zur Unterstützung von pflegebedürftigen Menschen beim Körper waschen.,RELEASED,1,false,false
CRS_7cbe4bec8b4e,Pro on the Go - Schmerzbeurteilung,15.0,"Das Ziel des Kurses ist es, dass Sie Schmerzen bei voll orientierten Menschen und bei Menschen mit kognitiven Beeinträchtigungen beurteilen können.",RELEASED,null,true,false
CRS_3bb690cf1164,Pro on the Go - Intramuskuläre (i.m.) Injektionen durchführen,15.0,"Dieser Kurs vermittelt Ihnen, wie Sie eine intramuskuläre Injektion vorbereiten, durchführen und nachbereiten.",RELEASED,null,true,false
CRS_2bb6b508b691,Prävention von Infektionen durch zentrale Gefäßkatheter - nach den Empfehlungen der KRINKO,30.0,Der Kurs dient der Sensibilisierung für die Prävention von Infektionen durch zentrale Gefäßkatheter und stützt sich auf die Empfehlungen der KRINKO.,RELEASED,1,true,false
CRS_2ee0f12cc050,Arbeitsschutz in der ambulanten Pflege,45.0,"Lernen Sie, wie Sie sich vor Arbeitsunfällen und Hautschäden schützen können, was bei einer Nadelstichverletzung und im Umgang mit Haustieren zu beachten ist.",ARCHIVED,1,false,false
CRS_87967751ba16,Allgemeines Gleichbehandlungsgesetz - Auffrischung,30.0,Dieser Kurs liefert Wissen zu den Grundlagen des Allgemeinen Gleichbehandlungsgesetzes (AGG).,RELEASED,1,false,false
CRS_0b53a6ce8c2f,Hygiene - Übertragungsbasierte Infektionsprävention,15.0,Ziel des Kurses ist es für Mitarbeitende für Übertragungswege von Infektionskrankheiten und entsprechende Schutzmaßnahmen zu sensibilisieren.,RELEASED,null,false,false
CRS_daa78e7518d3,Datenschutz in der evangelischen Kinder- und Jugendhilfe,30.0,"Mitarbeitende in der evangelischen Kinder- und Jugendhilfe lernen, wie man personenbezogene Daten sicher verarbeitet.",RELEASED,null,false,false
CRS_5dbcfdfcf0a8,Wissen auf einen Klick - Umgang mit Dienstfahrzeugen in der ambulanten Pflege,0.0,Dieser Kurs im Kurzformat beinhaltet ausschließlich ein kurzes Video. Es gibt zum Thema auch ausführliche Kurse im Relias Kursportfolio.,RELEASED,null,false,false
CRS_b8cccf6ee560,Palliative Care - Einführung,45.0,Dieser Kurs vermittelt Ihnen einen Überblick über die Palliativversorgung und Hospizarbeit in Deutschland.,RELEASED,1,false,false
CRS_2add63a6200e,"Entlastung des diabetischen Fußes, Teil 2",15.0,Die Indikationen und Kontraindikationen der weitere Entlastungsoptionen für diabetisches Fußulzera,RELEASED,null,false,false
CRS_cc8cf3bffa13,Datenschutz für administratives Personal: Teil 3 - Organisation und Maßnahmen,30.0,"Lernen Sie, wie Sie personenbezogene Daten im Klinikalltag schützen: praxisnah, verständlich und unverzichtbar für alle Mitarbeitenden in der Verwaltung.",RELEASED,null,false,false
CRS_b212fe7050ec,Medikamentengabe in der Eingliederungshilfe,45.0,"Der Kurs soll Mitarbeitenden in besonderen Wohnformen der Eingliederungshilfe, Sicherheit im Umgang und der Verabreichung von Medikamenten vermitteln.",RELEASED,1,false,false
CRS_fb56fc680eef,Leitfaden für Gespräche mit Mitarbeitenden in der Pflege,0.0,"Für Führungspersonen in der Pflege: Gespräche mit Mitarbeitenden strukturiert vorbereiten, führen und verbindlich nachbereiten.",RELEASED,null,false,false
CRS_3af8988ee35d,Wissen auf einen Klick - Bränden vorbeugen in der ambulanten Pflege,0.0,Dieser Kurs im Kurzformat beinhaltet ausschließlich ein kurzes Video. Es gibt zum Thema auch ausführliche Kurse im Relias Kursportfolio. ,RELEASED,null,false,false
CRS_df6e2d3dfaa2,Fachbezogenes Deutsch - Transfer in den Rollstuhl,45.0,Ziel des Kurses ist die Vermittlung von fachbezogenem Deutsch in Bezug auf den Transfer von Menschen mit Pflegebedarf in den Rollstuhl.,RELEASED,1,false,false
CRS_88e42bdff587,Datenschutz für administratives Personal: Teil 2 - Erstellung von Verarbeitungsverzeichnissen,30.0,Der 2. von 3 Teilen über die praktische Anwendung des Datenschutzes für Personal mit administrativen Aufgaben.,RELEASED,null,false,false
